Connected to the server
Starting a file (upload.txt) upload...
received ack: 1592790: from the server
received ack: 7616774: from the server
received ack: 8684630: from the server
received ack: 4591462: from the server
received ack: 5806406: from the server
received ack: 3371440: from the server
received ack: 3319524: from the server
received ack: 1455196: from the server
received ack: 2165902: from the server
received ack: 250904: from the server
received ack: 3252724: from the server
received ack: 4946268: from the server
received ack: 6213948: from the server
received ack: 6240492: from the server
received ack: 8783946: from the server
received ack: 2941366: from the server
received ack: 4481116: from the server
received ack: 5817640: from the server
received ack: 2664042: from the server
received ack: 7301424: from the server
received ack: 462252: from the server
received ack: 6395892: from the server
received ack: 739656: from the server
received ack: 8071632: from the server
received ack: 7613242: from the server
received ack: 4137692: from the server
received ack: 7793518: from the server
received ack: 5603310: from the server
received ack: 3254518: from the server
received ack: 728752: from the server
received ack: 9033820: from the server
received ack: 4674176: from the server
received ack: 8547284: from the server
received ack: 7626710: from the server
received ack: 8003294: from the server
received ack: 6837470: from the server
received ack: 5886880: from the server
received ack: 4361032: from the server
received ack: 5984902: from the server
received ack: 8144746: from the server
received ack: 7118100: from the server
received ack: 8051030: from the server
received ack: 8743286: from the server
received ack: 2105846: from the server
received ack: 3224496: from the server
received ack: 5060208: from the server
received ack: 5915864: from the server
received ack: 5685966: from the server
received ack: 8664934: from the server
received ack: 6987628: from the server
received ack: 9877732: from the server
received ack: 1943442: from the server
received ack: 1285946: from the server
received ack: 1979162: from the server
received ack: 1274572: from the server
received ack: 1412012: from the server
received ack: 5754836: from the server
received ack: 4782680: from the server
received ack: 5237372: from the server
received ack: 7213860: from the server
received ack: 2573120: from the server
received ack: 4636562: from the server
received ack: 7098828: from the server
received ack: 7086246: from the server
received ack: 9594844: from the server
received ack: 3859872: from the server
received ack: 1989770: from the server
received ack: 419288: from the server
received ack: 6561286: from the server
received ack: 5277054: from the server
received ack: 660594: from the server
received ack: 2233656: from the server
received ack: 7479596: from the server
received ack: 6507706: from the server
received ack: 1150290: from the server
received ack: 1334358: from the server
received ack: 4962846: from the server
received ack: 5726312: from the server
received ack: 8789360: from the server
received ack: 9945378: from the server
received ack: 2018076: from the server
received ack: 8034038: from the server
received ack: 3578340: from the server
received ack: 7509082: from the server
received ack: 6461774: from the server
received ack: 8978174: from the server
received ack: 372660: from the server
received ack: 5744386: from the server
received ack: 1077002: from the server
received ack: 3259344: from the server
received ack: 1139294: from the server
received ack: 7691524: from the server
received ack: 6907152: from the server
received ack: 5260636: from the server
received ack: 6715754: from the server
received ack: 4215902: from the server
received ack: 4244560: from the server
received ack: 9414586: from the server
received ack: 2074530: from the server
received ack: 3675042: from the server
received ack: 6504564: from the server
received ack: 8949254: from the server
received ack: 8142024: from the server
received ack: 5740858: from the server
received ack: 3757734: from the server
received ack: 7081778: from the server
received ack: 7188874: from the server
received ack: 889892: from the server
received ack: 9716730: from the server
received ack: 1526000: from the server
received ack: 8001248: from the server
received ack: 7902320: from the server
received ack: 1970624: from the server
received ack: 5873542: from the server
received ack: 2479650: from the server
received ack: 4151584: from the server
received ack: 2381994: from the server
received ack: 9324972: from the server
received ack: 4733544: from the server
received ack: 5954822: from the server
received ack: 3085564: from the server
received ack: 698674: from the server
received ack: 2912820: from the server
received ack: 7349296: from the server
received ack: 3675384: from the server
received ack: 6892658: from the server
received ack: 2052714: from the server
received ack: 7685056: from the server
received ack: 645436: from the server
received ack: 5553452: from the server
received ack: 3831420: from the server
